"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Ab:5-Rp:3-Or:2(dp/C,PE,PE75,1
PEPED103Airport,PE,PE75,1
PEPED103Al/B,PE,PE75,1
PEPED103Al/BC,PE,PE75,1
PEPED103Al/C,PE,PE75,1
PEPED103Al/CB,PE,PE75,1
PEPED103Al/CD,PE,PE75,1
PEPED103Al/D,PE,PE75,1
PEPED103Al/DC,PE,PE75,1
PEPED103Al/DE,PE,PE75,1
PEPED103Al/DF,PE,PE75,1
PEPED103Al/E,PE,PE75,1
PEPED103Al/EC,PE,PE75,1
PEPED103Al/ED,PE,PE75,1
PEPED103Al:4-Ch:4-Cu:1/C,PE,PE75,1
PEPED103Al:4-Ch:4-Go:1/C,PE,PE75,1
PEPED103Al:4-Cr:3-Wn:2(dp/C,PE,PE75,1
PEPED103Al:4-Cr:3/C,PE,PE75,1
PEPED103Al:4-Cu:3-Sc:1/C,PE,PE75,1
PEPED103Al:4-Go:4/CD,PE,PE75,1
PEPED103Al:4-Ki:3-Sp:2/B,PE,PE75,1
PEPED103Al:4-Ma:2-Wn:2(dp/CB,PE,PE75,1
PEPED103Al:5-Ch:2-Ha:2/EC,PE,PE75,1
PEPED103Al:5-Ch:3-Mp:1/B,PE,PE75,1
PEPED103Al:5-Ch:4-Cu:1/C,PE,PE75,1
PEPED103Al:5-Ch:4/C,PE,PE75,1
PEPED103Al:5-Ch:4/CD,PE,PE75,1
PEPED103Al:5-Ch:4/D,PE,PE75,1
PEPED103Al:5-Ch:4/ED,PE,PE75,1
PEPED103Al:5-Cr:4/C,PE,PE75,1
PEPED103Al:5-Cu:3-Ch:1/C,PE,PE75,1
PEPED103Al:5-Cu:3-Ch:1/DC,PE,PE75,1
PEPED103Al:5-Cu:3-Ui:1/CD,PE,PE75,1
PEPED103Al:5-Go:4/C,PE,PE75,1
PEPED103Al:5-Ha:3-Ki:1/BC,PE,PE75,1
PEPED103Al:5-Ma:2-Sc:2/C,PE,PE75,1
PEPED103Al:5-Ma:4/C,PE,PE75,1
PEPED103Al:5-Or:1-Ch:1/C,PE,PE75,1
PEPED103Al:5-Wn:4/B,PE,PE75,1
PEPED103Al:6-Ch:2-Cr:1/CD,PE,PE75,1
PEPED103Al:6-Ch:2/C,PE,PE75,1
PEPED103Al:6-Ch:3/C,PE,PE75,1
PEPED103Al:6-Ch:3/DC,PE,PE75,1
PEPED103Al:6-Ch:3/EF,PE,PE75,1
PEPED103Al:6-Ch:4/CD,PE,PE75,1
PEPED103Al:6-Cr:3/CD,PE,PE75,1
PEPED103Al:6-Cu:2/C,PE,PE75,1
PEPED103Al:6-Cu:3/CD,PE,PE75,1
PEPED103Al:6-Cu:3/DE,PE,PE75,1
PEPED103Al:6-Cu:3/E,PE,PE75,1
PEPED103Al:6-Cu:4/CD,PE,PE75,1
PEPED103Al:6-Go:2/C,PE,PE75,1
PEPED103Al:6-Ki:2/BC,PE,PE75,1
PEPED103Al:6-Ma:2-Wn:1/C,PE,PE75,1
PEPED103Al:6-Ma:2/C,PE,PE75,1
PEPED103Al:6-Sc:3/C,PE,PE75,1
PEPED103Al:6-Ti:4/CD,PE,PE75,1
PEPED103Al:6-Wn:2/C,PE,PE75,1
PEPED103Al:6-Wn:3/CB,PE,PE75,1
PEPED103Al:7-Ch:1-Cu:1/C,PE,PE75,1
PEPED103Al:7-Ch:2-Cu:1/CD,PE,PE75,1
PEPED103Al:7-Ch:2/C,PE,PE75,1
PEPED103Al:7-Ch:2/CD,PE,PE75,1
PEPED103Al:7-Ch:2/ED,PE,PE75,1
PEPED103Al:7-Ch:3/C,PE,PE75,1
PEPED103Al:7-Ch:3/CD,PE,PE75,1
PEPED103Al:7-Cr:1/C,PE,PE75,1
PEPED103Al:7-Cu:1-Ch:1/ED,PE,PE75,1
PEPED103Al:7-Cu:2/C,PE,PE75,1
PEPED103Al:7-Cu:2/CD,PE,PE75,1
PEPED103Al:7-Cu:2/DC,PE,PE75,1
PEPED103Al:7-Cu:3/CD,PE,PE75,1
PEPED103Al:7-Go:2/C,PE,PE75,1
PEPED103Al:7-Go:3/C,PE,PE75,1
PEPED103Al:7-Ma:1/DC,PE,PE75,1
PEPED103Al:8-Ch:1/BC,PE,PE75,1
PEPED103Al:8-Ch:1/C,PE,PE75,1
PEPED103Al:8-Ch:1/DE,PE,PE75,1
PEPED103Al:8-Ch:1/ED,PE,PE75,1
PEPED103Al:8-Ch:1/EF,PE,PE75,1
PEPED103Al:8-Ch:1/FE,PE,PE75,1
PEPED103Al:8-Ch:2/BC,PE,PE75,1
PEPED103Al:8-Ch:2/C,PE,PE75,1
PEPED103Al:8-Cr:1/C,PE,PE75,1
PEPED103Al:8-Cr:1/CD,PE,PE75,1
PEPED103Al:8-Cu:1/C,PE,PE75,1
PEPED103Al:8-Cu:1/CD,PE,PE75,1
PEPED103Al:8-Cu:1/DC,PE,PE75,1
PEPED103Al:8-Cu:1/ED,PE,PE75,1
PEPED103Al:8-Cu:2/C,PE,PE75,1
PEPED103Al:8-Cu:2/CD,PE,PE75,1
PEPED103Al:8-Cu:2/E,PE,PE75,1
PEPED103Al:8-Go:1/C,PE,PE75,1
PEPED103Al:8-Go:1/CD,PE,PE75,1
PEPED103Al:8-Sc:1/C,PE,PE75,1
PEPED103Al:8-Wn:1/C,PE,PE75,1
PEPED103Al:9-Rp:1/DB,PE,PE75,1
PEPED103Ald/C,PE,PE75,1
PEPED103Ald/CD,PE,PE75,1
PEPED103Ald/D,PE,PE75,1
PEPED103Ald/DC,PE,PE75,1
PEPED103Ald/EC,PE,PE75,1
PEPED103Ald/ED,PE,PE75,1
PEPED103Ald/EF,PE,PE75,1
PEPED103Ald/F,PE,PE75,1
PEPED103Ald/FE,PE,PE75,1
PEPED103Ald:6-Chd:3/E,PE,PE75,1
PEPED103Ald:7-Chd:2/ED,PE,PE75,1
PEPED103Ald:7-Chd:3/CD,PE,PE75,1
PEPED103Ald:7-Chd:3/DC,PE,PE75,1
PEPED103Ald:8-Chd:1/CD,PE,PE75,1
PEPED103Ald:8-Chd:1/FD,PE,PE75,1
PEPED103Ald:8-Chd:2/DC,PE,PE75,1
PEPED103Ar(dp/B,PE,PE75,1
PEPED103Ar:5-Pi:4(dp/B,PE,PE75,1
PEPED103Ar:6-Po:3(dp/B,PE,PE75,1
PEPED103Ar:6-Po:4(dp/B,PE,PE75,1
PEPED103Ar:7-Ve:3(dp/B,PE,PE75,1
PEPED103Ar:8-Wn:1(dp/B,PE,PE75,1
PEPED103Bp(dp/B,PE,PE75,1
PEPED103Bp:4-Ki:2-Wp:2(dp/B,PE,PE75,1
PEPED103Bp:5-Lr:4(dp/B,PE,PE75,1
PEPED103Bp:5-Sp:1-Wp:1(dp/C,PE,PE75,1
PEPED103Bp:5-Wp:1-Sp:1(dp/B,PE,PE75,1
PEPED103Bp:5-Wp:3-Du:1(dp/B,PE,PE75,1
PEPED103Bp:5-Wp:4(dp/B,PE,PE75,1
PEPED103Bp:6-Cp:1-Lr:1(dp/B,PE,PE75,1
PEPED103Bp:6-Lr:3(dp/B,PE,PE75,1
PEPED103Bp:6-Mg:2(dp/B,PE,PE75,1
PEPED103Bp:6-Mp:3(dp/B,PE,PE75,1
PEPED103Bp:6-Mr:3(dp/B,PE,PE75,1
PEPED103Bp:6-Rp:4(dp/B,PE,PE75,1
PEPED103Bp:6-Sp:3(dp/B,PE,PE75,1
PEPED103Bp:7-Mg:2(dp/B,PE,PE75,1
PEPED103Bp:7-Mp:1-Wp:1(dp/B,PE,PE75,1
PEPED103Bp:7-Mp:2(dp/B,PE,PE75,1
PEPED103Bp:7-Rp:2(dp/B,PE,PE75,1
PEPED103Bp:7-Wp:1(dp/B,PE,PE75,1
PEPED103Bp:8-Wp:2(dp/B,PE,PE75,1
PEPED103Br:7-Wn:1(dp/B,PE,PE75,1
PEPED103Ca(dp/B,PE,PE75,1
PEPED103Ca:5-En:4(dp/B,PE,PE75,1
PEPED103Cb,PE,PE75,1
PEPED103Cb:5-Ds:5,PE,PE75,1
PEPED103Cb:5-Ds:5/C,PE,PE75,1
PEPED103Cb:5-Sm:5,PE,PE75,1
PEPED103Cb:6-Ds:4,PE,PE75,1
PEPED103Cb:6-Ds:4/CD,PE,PE75,1
PEPED103Ch/B,PE,PE75,1
PEPED103Ch/BC,PE,PE75,1
PEPED103Ch/C,PE,PE75,1
PEPED103Ch/CB,PE,PE75,1
PEPED103Ch/CD,PE,PE75,1
PEPED103Ch/D,PE,PE75,1
PEPED103Ch/DC,PE,PE75,1
PEPED103Ch/DE,PE,PE75,1
PEPED103Ch/DF,PE,PE75,1
PEPED103Ch/E,PE,PE75,1
PEPED103Ch/ED,PE,PE75,1
PEPED103Ch/EF,PE,PE75,1
PEPED103Ch/F,PE,PE75,1
PEPED103Ch/FD,PE,PE75,1
PEPED103Ch/FE,PE,PE75,1
PEPED103Ch:3-Sp:3-Ha:2/CB,PE,PE75,1
PEPED103Ch:4-Bp:3-Rp:1(dp/CB,PE,PE75,1
PEPED103Ch:4-Cu:2-Go:2/C,PE,PE75,1
PEPED103Ch:4-Du:2-Ol:2/BC,PE,PE75,1
PEPED103Ch:4-Du:3/DB,PE,PE75,1
PEPED103Ch:4-Ha:2-Du:2/BC,PE,PE75,1
PEPED103Ch:4-Ma:2-Br:1/CD,PE,PE75,1
PEPED103Ch:4-Ma:2-Wn:1/DB,PE,PE75,1
PEPED103Ch:4-Mp:4-Sp:1(dp/BC,PE,PE75,1
PEPED103Ch:4-Or:4-Wn:1(dp/CB,PE,PE75,1
PEPED103Ch:4-Sc:3/FB,PE,PE75,1
PEPED103Ch:4-Sp:3-Mp:2(dp/BC,PE,PE75,1
PEPED103Ch:4-Ti:3/C,PE,PE75,1
PEPED103Ch:5-Al:2-Sc:1/DB,PE,PE75,1
PEPED103Ch:5-Al:3/CB,PE,PE75,1
PEPED103Ch:5-Al:4-Sp:1/CB,PE,PE75,1
PEPED103Ch:5-Al:4/C,PE,PE75,1
PEPED103Ch:5-Al:4/CD,PE,PE75,1
PEPED103Ch:5-Al:4/ED,PE,PE75,1
PEPED103Ch:5-Al:5/C,PE,PE75,1
PEPED103Ch:5-Al:5/CD,PE,PE75,1
PEPED103Ch:5-Hab:2-Sp:1/CB,PE,PE75,1
PEPED103Ch:5-Ki:3/C,PE,PE75,1
PEPED103Ch:5-Ma:4/B,PE,PE75,1
PEPED103Ch:5-Ma:4/C,PE,PE75,1
PEPED103Ch:5-Ol:2-Du:2/DC,PE,PE75,1
PEPED103Ch:5-Ol:3-Du:1/DC,PE,PE75,1
PEPED103Ch:5-Ol:3/B,PE,PE75,1
PEPED103Ch:5-Ol:4-Ha:1/CB,PE,PE75,1
PEPED103Ch:5-Ol:4/B,PE,PE75,1
PEPED103Ch:5-Sp:3/C,PE,PE75,1
PEPED103Ch:5-Sp:4/B,PE,PE75,1
PEPED103Ch:5-Ti:2-Ol:1/CB,PE,PE75,1
PEPED103Ch:5-Ti:2/C,PE,PE75,1
PEPED103Ch:5-Ti:3-Ol:1/CD,PE,PE75,1
PEPED103Ch:6-Al:2-Du:1/CB,PE,PE75,1
PEPED103Ch:6-Al:2/BC,PE,PE75,1
