Datetime,Temperature,Dew Point,GHI,Pressure,Relative Humidity,Precipitable Water
2019-01-01 00:00:00,-7.5,-8.5,0,1020,92.2,1.0
2019-01-01 01:00:00,-7.0,-8.0,0,1019,92.67,1.1
2019-01-01 02:00:00,-6.300000000000001,-7.300000000000001,0,1018,92.4,1.2000000000000002
2019-01-01 03:00:00,-5.800000000000001,-6.800000000000001,0,1016,92.34,1.2000000000000002
2019-01-01 04:00:00,-5.5,-6.5,0,1014,92.59,1.3
2019-01-01 05:00:00,-5.1000000000000005,-6.1000000000000005,0,1012,92.81,1.3
2019-01-01 06:00:00,-4.7,-5.6000000000000005,0,1011,93.68,1.3
2019-01-01 07:00:00,-4.3,-5.1000000000000005,0,1009,94.2,1.3
2019-01-01 08:00:00,-3.9,-4.7,0,1007,94.41,1.3
2019-01-01 09:00:00,-3.3000000000000003,-4.1000000000000005,30,1005,93.89,1.3
2019-01-01 10:00:00,-2.6,-3.6,69,1001,93.13,1.3
2019-01-01 11:00:00,-1.9,-3.0,190,998,92.5,1.3
2019-01-01 12:00:00,-1.4,-2.4000000000000004,100,995,92.89,1.3
2019-01-01 13:00:00,-1.1,-2.0,83,993,93.78,1.3
2019-01-01 14:00:00,-0.9,-1.6,205,991,94.84,1.3
2019-01-01 15:00:00,-0.9,-1.4,51,991,96.18,1.3
2019-01-01 16:00:00,-1.3,-1.7000000000000002,56,992,96.85,1.1
2019-01-01 17:00:00,-2.0,-2.5,0,993,96.73,0.9
2019-01-01 18:00:00,-2.3000000000000003,-2.8000000000000003,0,994,96.39,0.7000000000000001
2019-01-01 19:00:00,-2.2,-2.8000000000000003,0,996,96.0,0.7000000000000001
2019-01-01 20:00:00,-2.6,-3.2,0,997,95.57,0.6000000000000001
2019-01-01 21:00:00,-3.2,-4.800000000000001,0,999,88.85000000000001,0.5
2019-01-01 22:00:00,-5.0,-7.4,0,1001,83.53,0.4
2019-01-01 23:00:00,-6.7,-9.5,0,1003,80.22,0.3
2019-01-02 00:00:00,-8.0,-10.9,0,1005,79.7,0.2
2019-01-02 01:00:00,-8.9,-11.9,0,1006,78.94,0.2
2019-01-02 02:00:00,-9.9,-12.9,0,1008,79.01,0.2
2019-01-02 03:00:00,-10.7,-13.6,0,1010,78.94,0.1
2019-01-02 04:00:00,-11.4,-14.2,0,1011,79.91,0.1
2019-01-02 05:00:00,-12.1,-14.7,0,1012,81.05,0.1
2019-01-02 06:00:00,-12.8,-15.2,0,1014,82.25,0.2
2019-01-02 07:00:00,-13.2,-15.5,0,1016,82.82000000000001,0.2
2019-01-02 08:00:00,-13.6,-15.7,0,1017,83.92,0.2
2019-01-02 09:00:00,-13.6,-15.8,65,1018,83.35000000000001,0.2
2019-01-02 10:00:00,-13.5,-15.8,236,1019,82.66,0.2
2019-01-02 11:00:00,-13.2,-15.8,329,1019,81.03,0.2
2019-01-02 12:00:00,-12.8,-15.6,375,1019,79.43,0.2
2019-01-02 13:00:00,-12.5,-15.4,368,1019,79.22,0.2
2019-01-02 14:00:00,-12.2,-15.1,306,1019,79.23,0.2
2019-01-02 15:00:00,-12.1,-14.9,200,1020,79.79,0.2
2019-01-02 16:00:00,-12.5,-15.0,39,1021,81.39,0.2
2019-01-02 17:00:00,-13.1,-15.5,0,1021,82.37,0.2
2019-01-02 18:00:00,-13.4,-15.8,0,1022,82.34,0.2
2019-01-02 19:00:00,-13.7,-16.1,0,1022,82.10000000000001,0.2
2019-01-02 20:00:00,-13.9,-16.400000000000002,0,1022,81.39,0.2
2019-01-02 21:00:00,-14.1,-16.6,0,1022,81.34,0.2
2019-01-02 22:00:00,-14.3,-16.900000000000002,0,1022,80.7,0.2
2019-01-02 23:00:00,-14.9,-17.400000000000002,0,1022,81.46000000000001,0.2
2019-01-03 00:00:00,-15.5,-17.7,0,1022,83.21000000000001,0.2
2019-01-03 01:00:00,-16.0,-17.900000000000002,0,1021,85.15,0.2
2019-01-03 02:00:00,-16.400000000000002,-18.1,0,1021,87.02,0.2
2019-01-03 03:00:00,-16.6,-18.2,0,1021,87.64,0.2
2019-01-03 04:00:00,-16.7,-18.3,0,1020,87.73,0.2
2019-01-03 05:00:00,-16.7,-18.3,0,1019,87.11,0.3
2019-01-03 06:00:00,-16.2,-18.4,0,1019,82.89,0.3
2019-01-03 07:00:00,-15.4,-18.4,0,1018,77.54,0.3
2019-01-03 08:00:00,-14.8,-18.3,0,1018,74.49,0.3
2019-01-03 09:00:00,-14.1,-17.8,58,1017,73.58,0.4
2019-01-03 10:00:00,-13.1,-16.7,127,1016,74.26,0.4
2019-01-03 11:00:00,-12.3,-15.8,121,1016,75.32000000000001,0.5
2019-01-03 12:00:00,-11.5,-14.7,224,1014,77.09,0.5
2019-01-03 13:00:00,-10.8,-13.7,231,1014,79.42,0.5
2019-01-03 14:00:00,-10.1,-12.7,238,1013,80.96000000000001,0.5
2019-01-03 15:00:00,-9.6,-12.0,186,1012,82.47,0.6000000000000001
2019-01-03 16:00:00,-9.7,-11.9,39,1012,84.25,0.6000000000000001
2019-01-03 17:00:00,-10.0,-12.0,0,1011,85.34,0.6000000000000001
2019-01-03 18:00:00,-10.0,-11.8,0,1011,86.68,0.6000000000000001
2019-01-03 19:00:00,-9.9,-11.6,0,1011,87.72,0.6000000000000001
2019-01-03 20:00:00,-9.8,-11.3,0,1011,88.54,0.6000000000000001
2019-01-03 21:00:00,-9.7,-11.1,0,1011,89.21000000000001,0.6000000000000001
2019-01-03 22:00:00,-9.6,-10.9,0,1011,90.2,0.6000000000000001
2019-01-03 23:00:00,-9.3,-10.6,0,1010,89.91,0.6000000000000001
2019-01-04 00:00:00,-9.0,-10.3,0,1010,90.14,0.7000000000000001
2019-01-04 01:00:00,-8.700000000000001,-10.0,0,1010,89.97,0.7000000000000001
2019-01-04 02:00:00,-8.700000000000001,-9.9,0,1010,90.86,0.7000000000000001
2019-01-04 03:00:00,-8.700000000000001,-9.9,0,1010,91.24,0.7000000000000001
2019-01-04 04:00:00,-8.6,-9.7,0,1010,91.45,0.7000000000000001
2019-01-04 05:00:00,-8.5,-9.6,0,1009,91.61,0.8
2019-01-04 06:00:00,-8.4,-9.5,0,1010,92.08,0.8
