latitude,longitude,date,yield,temp,dptemp,relhum,precipamt,windspd,stnpress,raster_value
46.25,-63.12,2024-10-01,43.23,19.21,14.43,61.45,0.2,2.2,104.8,7688
46.25,-63.12,2024-10-02,30.85,17.94,6.48,73.09,7.28,7.22,103.27,7688
46.25,-63.12,2024-10-03,45.0,19.95,14.07,65.46,3.39,12.97,102.14,7688
46.25,-63.12,2024-10-04,39.63,20.53,7.91,67.24,1.37,13.7,101.53,7688
46.25,-63.12,2024-10-05,35.51,14.79,9.65,88.18,4.94,13.31,101.0,7688
46.25,-63.12,2024-10-06,47.92,13.81,5.62,95.42,3.56,1.6,100.27,7688
46.25,-63.12,2024-10-07,43.89,21.81,7.46,53.62,7.68,3.45,104.26,7688
46.25,-63.12,2024-10-08,37.99,20.73,5.32,94.03,7.6,5.68,103.93,7688
46.25,-63.12,2024-10-09,41.36,20.33,8.76,94.32,8.42,11.42,101.66,7688
46.25,-63.12,2024-10-10,42.33,22.96,14.01,68.23,6.49,12.39,104.61,7688
46.25,-63.12,2024-10-11,36.65,20.05,9.96,86.47,4.51,6.05,103.23,7688
46.25,-63.12,2024-10-12,45.12,16.7,6.22,98.03,3.67,6.21,102.51,7688
46.25,-63.12,2024-10-13,40.7,23.31,8.91,65.71,6.26,0.74,103.17,7688
46.25,-63.12,2024-10-14,39.42,18.19,9.33,76.04,1.29,11.09,100.03,7688
46.25,-63.12,2024-10-15,43.58,11.36,6.3,77.97,4.69,13.92,101.79,7688
46.25,-63.12,2024-10-16,42.97,15.65,9.03,61.23,5.73,2.06,103.03,7688
46.25,-63.12,2024-10-17,44.79,20.62,8.36,88.78,9.8,14.4,102.61,7688
46.25,-63.12,2024-10-18,47.21,20.19,14.55,73.25,4.74,10.91,101.95,7688
46.25,-63.12,2024-10-19,43.16,20.03,9.31,89.04,0.21,7.64,103.07,7688
46.25,-63.12,2024-10-20,35.31,24.83,11.53,55.64,0.62,8.92,104.08,7688
46.25,-63.12,2024-10-21,33.85,11.83,13.69,51.46,8.9,14.12,100.79,7688
46.25,-63.12,2024-10-22,34.35,19.35,5.62,53.07,6.49,4.97,103.73,7688
46.25,-63.12,2024-10-23,30.87,24.17,7.54,86.94,4.95,10.38,102.98,7688
46.25,-63.12,2024-10-24,30.46,10.69,12.67,67.54,9.77,6.5,102.3,7688
46.25,-63.12,2024-10-25,49.38,16.08,7.98,92.59,1.85,15.0,101.22,7688
46.25,-63.12,2024-10-26,39.98,13.36,10.66,94.32,0.09,4.38,100.41,7688
46.25,-63.12,2024-10-27,30.81,18.59,14.9,90.87,1.4,9.31,103.78,7688
46.25,-63.12,2024-10-28,47.87,13.45,13.77,91.58,2.14,7.31,101.23,7688
46.25,-63.12,2024-10-29,34.29,20.99,14.67,87.01,4.32,8.47,103.84,7688
46.25,-63.12,2024-10-30,30.85,11.53,8.24,95.7,5.0,12.48,102.23,7688
46.25,-63.12,2024-10-31,43.09,24.17,6.26,67.51,3.75,2.01,102.7,7688
46.28,-63.15,2024-10-01,44.69,12.53,6.33,79.36,2.51,8.24,103.68,7688
46.28,-63.15,2024-10-02,41.08,22.72,14.21,51.43,4.19,7.23,104.25,7688
46.28,-63.15,2024-10-03,47.66,18.73,9.4,82.06,7.47,5.49,101.61,7688
