File Name,Total Missing Values,Columns with Missing Values
Area_Average_Yield_and_Production_of_Potatoes_PEI.docx.csv,0,{}
Assessing_Future_Climate_Change_Impacts_on_Potato_Yields.docx.csv,0,{}
Changes_in_soil_organic_matter_over_18_years_in_Prince_Edward_Island.docx.csv,1,{'Count': 1}
Characterizing_Potato_Yield_Responses_to_Water_Supply_in_Atlantic_Canada.docx.csv,2,"{'Variety_Aggregated_Yield_Mg_per_ha': 1, 'RB_Yield_Mg_per_ha': 1}"
Climate_change_impacts_on_precipitation_and_temperature_in_PEI.docx.csv,0,{}
Corrected_Climate_change_impacts.csv,0,{}
Crop scouting using UAV imagery a case study for potatoes.csv,0,{}
Determining_Phosphorus_Fertilization_Requirements_for_Potatoes_based_on_Phosphorus_Saturation_Index_for_PEI.docx.csv,0,{}
Fertilizer_Application.csv,0,{}
Fungicides.csv,0,{}
Herbicides.csv,0,{}
Irrigation_Scheduling.csv,0,{}
Mapping_crop_evapotranspiration_with_high_resolution_imagery_and_meteorological_data.docx.csv,0,{}
missing_values_summary.csv,0,{}
MTD_MSIL2A.csv,18232,"{'n1:Level-2A_User_Product': 139, 'xmlns:n1': 138, 'xmlns:xsi': 138, 'xsi:schemaLocation': 138, 'n1:General_Info': 139, 'Product_Info': 139, 'PRODUCT_START_TIME': 138, 'PRODUCT_STOP_TIME': 138, 'PRODUCT_URI': 138, 'PROCESSING_LEVEL': 138, 'PRODUCT_TYPE': 138, 'PROCESSING_BASELINE': 138, 'PRODUCT_DOI': 138, 'GENERATION_TIME': 138, 'PREVIEW_IMAGE_URL': 138, 'PREVIEW_GEO_INFO': 138, 'Datatake': 139, 'datatakeIdentifier': 138, 'SPACECRAFT_NAME': 138, 'DATATAKE_TYPE': 138, 'DATATAKE_SENSING_START': 138, 'SENSING_ORBIT_NUMBER': 138, 'SENSING_ORBIT_DIRECTION': 138, 'Query_Options': 139, 'completeSingleTile': 138, 'PRODUCT_FORMAT': 138, 'Product_Organisation': 139, 'Granule_List': 139, 'Granule': 139, 'datastripIdentifier': 138, 'granuleIdentifier': 138, 'imageFormat': 138, 'IMAGE_FILE': 103, 'Product_Image_Characteristics': 139, 'Special_Values': 139, 'SPECIAL_VALUE_TEXT': 137, 'SPECIAL_VALUE_INDEX': 137, 'Image_Display_Order': 139, 'RED_CHANNEL': 138, 'GREEN_CHANNEL': 138, 'BLUE_CHANNEL': 138, 'QUANTIFICATION_VALUES_LIST': 139, 'BOA_QUANTIFICATION_VALUE': 138, 'unit': 138, 'AOT_QUANTIFICATION_VALUE': 138, 'unit.1': 138, 'WVP_QUANTIFICATION_VALUE': 138, 'unit.2': 138, 'BOA_ADD_OFFSET_VALUES_LIST': 139, 'BOA_ADD_OFFSET': 126, 'band_id': 126, 'Reflectance_Conversion': 139, 'U': 138, 'Solar_Irradiance_List': 139, 'SOLAR_IRRADIANCE': 126, 'bandId': 126, 'unit.3': 126, 'Spectral_Information_List': 139, 'Spectral_Information': 139, 'bandId.1': 126, 'physicalBand': 126, 'RESOLUTION': 126, 'Wavelength': 139, 'MIN': 126, 'unit.4': 126, 'MAX': 126, 'unit.5': 126, 'CENTRAL': 126, 'unit.6': 126, 'Spectral_Response': 139, 'STEP': 126, 'unit.7': 126, 'VALUES': 126, 'PHYSICAL_GAINS': 126, 'bandId.2': 126, 'Scene_Classification_List': 139, 'Scene_Classification_ID': 139, 'SCENE_CLASSIFICATION_TEXT': 127, 'SCENE_CLASSIFICATION_INDEX': 127, 'n1:Geometric_Info': 139, 'Product_Footprint': 139, 'Product_Footprint.1': 139, 'Global_Footprint': 139, 'EXT_POS_LIST': 138, 'RASTER_CS_TYPE': 138, 'PIXEL_ORIGIN': 138, 'Coordinate_Reference_System': 139, 'GEO_TABLES': 138, 'version': 138, 'HORIZONTAL_CS_TYPE': 138, 'n1:Auxiliary_Data_Info': 139, 'GIPP_List': 139, 'PRODUCTION_DEM_TYPE': 138, 'IERS_BULLETIN_FILENAME': 138, 'GRI_List': 139, 'ECMWF_DATA_REF': 138, 'LUT_List': 139, 'LUT_FILENAME': 139, 'SNOW_CLIMATOLOGY_MAP': 138, 'ESACCI_WaterBodies_Map': 138, 'ESACCI_LandCover_Map': 138, 'ESACCI_SnowCondition_Map_Dir': 138, 'n1:Quality_Indicators_Info': 139, 'Cloud_Coverage_Assessment': 138, 'Technical_Quality_Assessment': 139, 'DEGRADED_ANC_DATA_PERCENTAGE': 138, 'DEGRADED_MSI_DATA_PERCENTAGE': 138, 'Quality_Control_Checks': 139, 'Quality_Inspections': 139, 'quality_check': 133, 'checkType': 133, 'Failed_Inspections': 139, 'Image_Content_QI': 139, 'CLOUDY_PIXEL_OVER_LAND_PERCENTAGE': 138, 'NODATA_PIXEL_PERCENTAGE': 138, 'SATURATED_DEFECTIVE_PIXEL_PERCENTAGE': 138, 'CAST_SHADOW_PERCENTAGE': 138, 'CLOUD_SHADOW_PERCENTAGE': 138, 'VEGETATION_PERCENTAGE': 138, 'NOT_VEGETATED_PERCENTAGE': 138, 'WATER_PERCENTAGE': 138, 'UNCLASSIFIED_PERCENTAGE': 138, 'MEDIUM_PROBA_CLOUDS_PERCENTAGE': 138, 'HIGH_PROBA_CLOUDS_PERCENTAGE': 138, 'THIN_CIRRUS_PERCENTAGE': 138, 'SNOW_ICE_PERCENTAGE': 138, 'RADIATIVE_TRANSFER_ACCURACY': 138, 'WATER_VAPOUR_RETRIEVAL_ACCURACY': 138, 'AOT_RETRIEVAL_ACCURACY': 138, 'AOT_RETRIEVAL_METHOD': 138, 'GRANULE_MEAN_AOT': 138, 'GRANULE_MEAN_WV': 138, 'OZONE_SOURCE': 138, 'OZONE_VALUE': 138}"
Nutrient_Management_in_PEI_Potato_Production.docx.csv,0,{}
Phosphorus_Saturation_Index.csv,0,{}
Potato_Market_Information_Review.docx.csv,0,{}
Seed_Piece_Treatments.csv,0,{}
Soil_Organic_Matter_Trends.csv,0,{}
Supplemental_Irrigation_Scheduling_for_Potato_Production.docx.csv,0,{}
The_Prince_Edward_Island_Potato_Sector.docx.csv,0,{}
