File Name,Total Missing Values (Before),Total Missing Values (After),Dropped Columns
Area_Average_Yield_and_Production_of_Potatoes_PEI.docx.csv,0,0,[]
Assessing_Future_Climate_Change_Impacts_on_Potato_Yields.docx.csv,0,0,[]
Changes_in_soil_organic_matter_over_18_years_in_Prince_Edward_Island.docx.csv,1,0,[]
Characterizing_Potato_Yield_Responses_to_Water_Supply_in_Atlantic_Canada.docx.csv,2,0,[]
Climate_change_impacts_on_precipitation_and_temperature_in_PEI.docx.csv,0,0,[]
Corrected_Climate_change_impacts.csv,0,0,[]
Crop scouting using UAV imagery a case study for potatoes.csv,0,0,[]
Determining_Phosphorus_Fertilization_Requirements_for_Potatoes_based_on_Phosphorus_Saturation_Index_for_PEI.docx.csv,0,0,[]
Fertilizer_Application.csv,0,0,[]
Fungicides.csv,0,0,[]
Herbicides.csv,0,0,[]
Irrigation_Scheduling.csv,0,0,[]
Mapping_crop_evapotranspiration_with_high_resolution_imagery_and_meteorological_data.docx.csv,0,0,[]
missing_values_summary.csv,0,0,[]
MTD_MSIL2A.csv,18232,0,"['n1:Level-2A_User_Product', 'xmlns:n1', 'xmlns:xsi', 'xsi:schemaLocation', 'n1:General_Info', 'Product_Info', 'PRODUCT_START_TIME', 'PRODUCT_STOP_TIME', 'PRODUCT_URI', 'PROCESSING_LEVEL', 'PRODUCT_TYPE', 'PROCESSING_BASELINE', 'PRODUCT_DOI', 'GENERATION_TIME', 'PREVIEW_IMAGE_URL', 'PREVIEW_GEO_INFO', 'Datatake', 'datatakeIdentifier', 'SPACECRAFT_NAME', 'DATATAKE_TYPE', 'DATATAKE_SENSING_START', 'SENSING_ORBIT_NUMBER', 'SENSING_ORBIT_DIRECTION', 'Query_Options', 'completeSingleTile', 'PRODUCT_FORMAT', 'Product_Organisation', 'Granule_List', 'Granule', 'datastripIdentifier', 'granuleIdentifier', 'imageFormat', 'IMAGE_FILE', 'Product_Image_Characteristics', 'Special_Values', 'SPECIAL_VALUE_TEXT', 'SPECIAL_VALUE_INDEX', 'Image_Display_Order', 'RED_CHANNEL', 'GREEN_CHANNEL', 'BLUE_CHANNEL', 'QUANTIFICATION_VALUES_LIST', 'BOA_QUANTIFICATION_VALUE', 'unit', 'AOT_QUANTIFICATION_VALUE', 'unit.1', 'WVP_QUANTIFICATION_VALUE', 'unit.2', 'BOA_ADD_OFFSET_VALUES_LIST', 'BOA_ADD_OFFSET', 'band_id', 'Reflectance_Conversion', 'U', 'Solar_Irradiance_List', 'SOLAR_IRRADIANCE', 'bandId', 'unit.3', 'Spectral_Information_List', 'Spectral_Information', 'bandId.1', 'physicalBand', 'RESOLUTION', 'Wavelength', 'MIN', 'unit.4', 'MAX', 'unit.5', 'CENTRAL', 'unit.6', 'Spectral_Response', 'STEP', 'unit.7', 'VALUES', 'PHYSICAL_GAINS', 'bandId.2', 'Scene_Classification_List', 'Scene_Classification_ID', 'SCENE_CLASSIFICATION_TEXT', 'SCENE_CLASSIFICATION_INDEX', 'n1:Geometric_Info', 'Product_Footprint', 'Product_Footprint.1', 'Global_Footprint', 'EXT_POS_LIST', 'RASTER_CS_TYPE', 'PIXEL_ORIGIN', 'Coordinate_Reference_System', 'GEO_TABLES', 'version', 'HORIZONTAL_CS_TYPE', 'n1:Auxiliary_Data_Info', 'GIPP_List', 'PRODUCTION_DEM_TYPE', 'IERS_BULLETIN_FILENAME', 'GRI_List', 'ECMWF_DATA_REF', 'LUT_List', 'LUT_FILENAME', 'SNOW_CLIMATOLOGY_MAP', 'ESACCI_WaterBodies_Map', 'ESACCI_LandCover_Map', 'ESACCI_SnowCondition_Map_Dir', 'n1:Quality_Indicators_Info', 'Cloud_Coverage_Assessment', 'Technical_Quality_Assessment', 'DEGRADED_ANC_DATA_PERCENTAGE', 'DEGRADED_MSI_DATA_PERCENTAGE', 'Quality_Control_Checks', 'Quality_Inspections', 'quality_check', 'checkType', 'Failed_Inspections', 'Image_Content_QI', 'CLOUDY_PIXEL_OVER_LAND_PERCENTAGE', 'NODATA_PIXEL_PERCENTAGE', 'SATURATED_DEFECTIVE_PIXEL_PERCENTAGE', 'CAST_SHADOW_PERCENTAGE', 'CLOUD_SHADOW_PERCENTAGE', 'VEGETATION_PERCENTAGE', 'NOT_VEGETATED_PERCENTAGE', 'WATER_PERCENTAGE', 'UNCLASSIFIED_PERCENTAGE', 'MEDIUM_PROBA_CLOUDS_PERCENTAGE', 'HIGH_PROBA_CLOUDS_PERCENTAGE', 'THIN_CIRRUS_PERCENTAGE', 'SNOW_ICE_PERCENTAGE', 'RADIATIVE_TRANSFER_ACCURACY', 'WATER_VAPOUR_RETRIEVAL_ACCURACY', 'AOT_RETRIEVAL_ACCURACY', 'AOT_RETRIEVAL_METHOD', 'GRANULE_MEAN_AOT', 'GRANULE_MEAN_WV', 'OZONE_SOURCE', 'OZONE_VALUE']"
Nutrient_Management_in_PEI_Potato_Production.docx.csv,0,0,[]
Phosphorus_Saturation_Index.csv,0,0,[]
Potato_Market_Information_Review.docx.csv,0,0,[]
Seed_Piece_Treatments.csv,0,0,[]
Soil_Organic_Matter_Trends.csv,0,0,[]
Supplemental_Irrigation_Scheduling_for_Potato_Production.docx.csv,0,0,[]
The_Prince_Edward_Island_Potato_Sector.docx.csv,0,0,[]
