time,ssp126_tx_max_p10,ssp126_tx_max_p50,ssp126_tx_max_p90,ssp245_tx_max_p10,ssp245_tx_max_p50,ssp245_tx_max_p90,ssp585_tx_max_p10,ssp585_tx_max_p50,ssp585_tx_max_p90,ssp126_tx_max_delta_1971_2000_p10,ssp126_tx_max_delta_1971_2000_p50,ssp126_tx_max_delta_1971_2000_p90,ssp245_tx_max_delta_1971_2000_p10,ssp245_tx_max_delta_1971_2000_p50,ssp245_tx_max_delta_1971_2000_p90,ssp585_tx_max_delta_1971_2000_p10,ssp585_tx_max_delta_1971_2000_p50,ssp585_tx_max_delta_1971_2000_p90
1951-01-01,29.2,29.5,29.9,29.2,29.6,30.0,29.2,29.5,30.0,-0.6,-0.2,0.1,-0.6,-0.3,0.1,-0.6,-0.2,0.1
1961-01-01,29.3,29.6,29.8,29.3,29.6,29.8,29.3,29.6,29.9,-0.4,-0.2,0.0,-0.4,-0.2,0.1,-0.4,-0.2,0.1
1971-01-01,29.4,29.8,30.1,29.4,29.8,30.1,29.4,29.8,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-01-01,29.8,30.1,30.3,29.7,30.1,30.4,29.7,30.1,30.4,0.1,0.3,0.5,0.1,0.3,0.5,0.0,0.3,0.5
1991-01-01,30.1,30.5,30.8,30.1,30.6,30.9,30.0,30.5,30.8,0.4,0.7,1.0,0.4,0.8,1.0,0.3,0.7,1.0
2001-01-01,30.5,30.8,31.6,30.3,31.0,31.8,30.4,30.9,31.5,0.6,1.1,1.6,0.7,1.3,1.7,0.6,1.2,1.6
2011-01-01,30.6,31.4,32.6,30.6,31.4,32.4,30.7,31.6,32.5,0.8,1.6,2.6,1.0,1.6,2.4,0.7,1.7,2.3
2021-01-01,31.0,31.6,33.0,31.0,31.8,33.3,31.2,32.1,33.6,1.0,1.8,3.1,1.2,2.0,3.1,1.2,2.3,3.2
2031-01-01,31.3,32.0,33.2,31.5,32.1,33.5,32.0,32.8,34.3,1.4,2.2,3.6,1.8,2.5,3.4,2.0,3.0,4.1
2041-01-01,31.2,32.1,33.3,31.7,32.8,33.9,32.5,33.3,35.3,1.6,2.3,3.7,2.0,3.0,4.1,2.7,3.6,5.4
2051-01-01,31.2,32.1,33.7,31.9,33.1,34.4,33.1,34.2,36.7,1.5,2.4,3.9,2.3,3.3,4.5,3.4,4.5,6.8
2061-01-01,31.0,32.1,33.8,32.1,33.5,34.6,33.4,35.3,37.6,1.3,2.4,3.9,2.4,3.7,4.6,3.5,5.5,7.8
2071-01-01,31.1,32.2,33.9,32.2,33.7,35.0,33.9,36.1,38.9,1.2,2.4,4.1,2.5,3.9,5.0,4.0,6.2,9.0
